town.names,long,lat,query,ludnosc_(31.12.2014)
Rumia,54.570556,18.387778,[base = 'Rumia'],47602
Skarżysko-Kamienna,51.116389,20.866944,[base = 'Skarżysko'] [base = 'kamienny'],47212
Krosno,49.682222,21.765833,[base = 'krosno'],46934
Kołobrzeg,54.177778,15.576944,[base = 'Kołobrzeg'],46720
Dębica,50.051389,21.411667,[base = 'Dębica'],46568
Piaseczno,52.075556,21.026389,[base = 'Piaseczno'],45567
Kutno,52.231061,19.364342,[base = 'Kutno'],45371
Otwock,52.106111,21.265833,[base = 'Otwock'],45025
Nysa,50.471636,17.334111,[orth = 'Nys.*' & base = 'nysa'],44775
Ciechanów,52.881667,20.610556,[base = 'Ciechanów'],44585
Zduńska Wola,51.606111,18.939167,[base = 'zduński'] [base = 'wola'],43310
Sieradz,51.595278,18.730556,[base = 'Sieradz'],43071
Świnoujście,53.907778,14.2475,[base = 'Świnoujście'],41276
Żyrardów,52.054167,20.444444,[base = 'Żyrardów'],41003
Szczecinek,53.720833,16.686111,[base = 'Szczecinek'],40535
Mińsk Mazowiecki,52.180556,21.558333,[base = 'Mińsk'] [base = 'Mazowiecki'],40211
Świdnik,51.219722,22.7,[base = 'Świdnik'],40078
Chojnice,53.694167,17.556389,[base = 'Chojnice'],40056
Mikołów,50.163611,18.903889,[base = 'Mikołów'],39795
Nowa Sól,51.805833,15.716111,[orth = 'Now.*' & base = 'nowy'] [orth = 'S[óo]{1}l.*' & base = 'sól'],39571
Bolesławiec,51.263889,15.560833,[base = 'Bolesławiec'],39464
Oświęcim,50.039167,19.220833,[base = 'Oświęcim'],39444
Malbork,54.035,19.028056,[base = 'Malbork'],38950
Sanok,49.558333,22.205556,[base = 'Sanok'],38818
Kwidzyn,53.735833,18.930833,[base = 'Kwidzyn'],38757
Żary,51.636667,15.136667,[orth = 'Żar.*' & base = 'żar' & number=pl],38527
Sopot,54.441944,18.559722,[base = 'Sopot'],37654
Wołomin,52.346667,21.241944,[base = 'Wołomin'],37389
Oleśnica,51.212778,17.383056,[base = 'Oleśnica'],37355
Sochaczew,52.227778,20.241667,[base = 'Sochaczew'],37201
Brzeg,50.860278,17.467222,[orth = 'Brzeg.*' & base = 'brzeg'],36675
Olkusz,50.279167,19.559722,[base = 'Olkusz'],36477
Jasło,49.747778,21.471389,[orth = 'Jasł.*' & base = 'jasło'],36260
Cieszyn,49.75,18.633333,[base = 'Cieszyn'],35685
Czechowice-Dziedzice,49.911331,19.0075,[base = 'Czechowice'] [base = 'dziedzic'],35632
Kraśnik,50.921389,22.220833,[orth = 'Kraśnik.*' & base = 'kraśnik'],35508
